userName,commentContent,createTime,courseId,courseName
qq_chocolates_04281688,数学  哎,2017-03-29,612,Canvas 绘制时钟
遗失de回忆,translate改变原点写在一个函数里 ，画时针的时候还是从左上角开始画啊,2017-03-26,612,Canvas 绘制时钟
镜心书社,https://github.com/AlexZ33/canvas_demo/blob/master/clock.html,2017-03-25,612,Canvas 绘制时钟
lyrots,声音不清晰，还欠点激情，无法带动气氛，令人昏昏欲睡，求改善,2015-12-10,555,Unity3D-菜鸟先飞之NGUI基础
weixin_握在手中的誓约胜利_0,文本导入报错的话，在文本里选择文件---另存为---编码格式选择UTF-8---保存。重新导入就可以了。,2017-01-05,555,Unity3D-菜鸟先飞之NGUI基础
周小末,bitmapfont报错解决办法 http://www.yongshen.me/post-91.html,2016-06-01,555,Unity3D-菜鸟先飞之NGUI基础
qq_Fiction_0,这些学生，挑三拣四，一个字，烦,2017-11-27,555,Unity3D-菜鸟先飞之NGUI基础
慕粉17864197704,谢谢老师的辛苦教学,2017-07-18,555,Unity3D-菜鸟先飞之NGUI基础
大慧慧,...无力吐槽,2017-06-05,555,Unity3D-菜鸟先飞之NGUI基础
BobbyZhang93,声音太绵了，催眠曲一样，建议作者提升一下语调，另外内容也应该再充实一下,2017-05-26,555,Unity3D-菜鸟先飞之NGUI基础
慕粉1139296803,老师辛苦啦！,2017-04-17,555,Unity3D-菜鸟先飞之NGUI基础
I_am_若尊,谢谢老师的细心教学。,2017-04-13,555,Unity3D-菜鸟先飞之NGUI基础
夜行水寒,重命名 点击名字一下就好，别多次点击，很容易点击到图片,2017-01-22,555,Unity3D-菜鸟先飞之NGUI基础
Faith_Insist,哈哈哈哈。,2016-12-15,555,Unity3D-菜鸟先飞之NGUI基础
慕粉1470040416,有没有 Mac版的下载,2016-10-06,555,Unity3D-菜鸟先飞之NGUI基础
greensue,声音效果没有第一个好,2016-09-30,555,Unity3D-菜鸟先飞之NGUI基础
amos_xwp,讲的是皮毛上的皮毛,2016-09-07,555,Unity3D-菜鸟先飞之NGUI基础
qq_MinoGump_0,放多个图片明明是增加IO消耗,2016-08-23,555,Unity3D-菜鸟先飞之NGUI基础
麥熟,求资源，没资源不好摆弄,2016-08-07,555,Unity3D-菜鸟先飞之NGUI基础
qq_侧耳倾听_3,重命名的快捷键是什么啊,2016-07-31,555,Unity3D-菜鸟先飞之NGUI基础
jackNick,干嘛每个控件前都要加一个UI啊，这不就有点画蛇添足了么,2016-07-19,555,Unity3D-菜鸟先飞之NGUI基础
开03975976,index++; index=index%img.length,2017-05-22,502,图片预加载
qq_雨露_23727491,五分三十八秒 成功被催眠,2017-05-19,502,图片预加载
狂奔的蚂蚁,data-* 的html的属性居然还可以这样用！！我第一次见，又学一招,2017-05-19,502,图片预加载
安然时光,谁有源代码，我写着写着就蒙圈了   ,2017-05-18,502,图片预加载
慕粉0446215595,我怎么感觉我挖到化石了,2017-05-18,502,图片预加载
qq_YUG_0,看不懂，照着写了没用，老师在js里声明jquery的方法是编辑器自带的吗,2017-05-17,502,图片预加载
qq_走成熟线_lz_0,这哥们是灰太狼？哈哈,2017-05-17,502,图片预加载
qq_YUG_0,为什么这张图片单独能看，写在代码里不显示呢http://i2.hoopchina.com.cn/user/308/15960308/13383588090.jpg,2017-05-16,502,图片预加载
lsh1991,老师，相信你还会回来的。满满的干货啊。,2017-05-15,502,图片预加载
qq_大胡子先生_03547621,为啥不能收藏！！！！,2017-05-15,502,图片预加载
qq_Findmysky_0,n脸懵逼...,2017-05-15,502,图片预加载
KJinn,面相对象这块可以稍微讲慢点，关键点都得暂停来想一会才能开始,2017-05-15,502,图片预加载
慕仔8487271,感谢老师，真的很好,2017-05-15,502,图片预加载
明瑶MY,老师的基本功很nice,2017-05-14,502,图片预加载
时光释怀了记忆,果不其然，面向对象是js中最难的部分,2017-05-13,502,图片预加载
qq__48523624033,这老师讲东西的逻辑真的有问题    不是先dao 再   service  再 action  这竟然是反着来  靠,2017-07-17,679,基于SSH实现员工管理系统之案例实现篇
罗汉爷,终于出错了！！！！！！！,2017-07-16,679,基于SSH实现员工管理系统之案例实现篇
